Tarih_Saat,Video_sn,kisi,baret_var,baret_yok,yelek_var,yelek_yok
2026-07-10 11:47:44,51.5,2,0,2,0,0
2026-07-10 11:47:44,51.7,1,0,2,0,0
2026-07-10 11:47:44,52.0,2,0,2,0,0
2026-07-10 11:47:45,52.2,1,0,2,0,0
2026-07-10 11:47:45,52.5,1,0,2,0,0
2026-07-10 11:47:45,52.8,1,0,1,0,0
2026-07-10 11:47:45,53.1,1,0,2,0,0
2026-07-10 11:47:46,53.3,1,0,3,0,0
2026-07-10 11:47:46,53.6,1,0,2,0,0
2026-07-10 11:47:46,53.8,2,0,2,0,0
2026-07-10 11:47:46,54.1,0,0,2,0,0
2026-07-10 11:47:47,54.4,1,0,2,0,0
2026-07-10 11:47:47,54.6,2,0,2,0,1
2026-07-10 11:47:47,54.9,1,0,2,0,1
2026-07-10 11:47:48,55.2,1,0,2,0,1
2026-07-10 11:47:48,55.4,1,0,2,0,0
2026-07-10 11:47:48,55.7,0,0,2,0,0
2026-07-10 11:47:48,56.0,1,0,2,0,0
2026-07-10 11:47:49,56.2,0,0,2,0,0
2026-07-10 11:47:49,56.5,0,0,2,0,0
2026-07-10 11:47:49,56.7,0,0,3,0,0
2026-07-10 11:47:49,57.0,1,0,2,0,0
2026-07-10 11:47:50,57.3,0,0,2,0,1
2026-07-10 11:47:50,57.6,0,0,2,0,0
2026-07-10 11:47:50,57.8,0,0,2,0,0
2026-07-10 11:47:50,58.1,0,0,1,0,0
2026-07-10 11:47:51,58.3,0,0,2,0,0
2026-07-10 11:47:51,58.6,0,0,1,0,0
2026-07-10 11:47:51,58.9,2,0,1,0,0
2026-07-10 11:47:52,59.2,1,0,1,0,0
2026-07-10 11:47:52,59.4,1,0,1,0,1
2026-07-10 11:47:52,59.7,1,0,1,0,1
2026-07-10 11:47:52,60.0,1,0,1,0,1
2026-07-10 11:47:53,60.2,2,0,1,0,1
2026-07-10 11:47:53,60.5,1,0,1,0,1
2026-07-10 11:47:53,60.8,0,0,1,0,1
2026-07-10 11:47:53,61.1,0,0,1,0,1
2026-07-10 11:47:54,61.3,1,0,1,0,1
2026-07-10 11:47:54,61.6,1,0,1,0,1
2026-07-10 11:47:54,61.8,1,0,1,0,1
2026-07-10 11:47:54,62.1,1,0,1,0,1
2026-07-10 11:47:55,62.4,1,0,1,0,1
2026-07-10 11:47:55,62.7,1,0,1,0,1
2026-07-10 11:47:55,62.9,0,0,1,0,0
2026-07-10 11:47:56,63.2,1,0,1,0,1
2026-07-10 11:47:56,63.5,0,0,1,0,1
2026-07-10 11:47:56,63.7,1,0,1,0,1
2026-07-10 11:47:56,64.0,1,0,1,0,1
2026-07-10 11:47:57,64.3,1,0,1,0,1
2026-07-10 11:47:57,64.5,1,0,1,0,1
2026-07-10 11:47:57,64.8,1,0,1,0,1
2026-07-10 11:47:57,65.1,0,0,1,0,0
2026-07-10 11:47:58,65.4,1,0,1,0,0
2026-07-10 11:47:58,65.7,1,0,1,0,1
2026-07-10 11:47:58,65.9,1,0,1,0,1
2026-07-10 11:47:59,66.2,1,0,1,0,1
2026-07-10 11:47:59,66.5,1,0,1,0,0
2026-07-10 11:47:59,66.7,0,0,1,0,0
2026-07-10 11:47:59,67.0,0,0,1,0,0
2026-07-10 11:48:00,67.3,0,0,2,0,0
2026-07-10 11:48:00,67.6,1,0,1,0,1
2026-07-10 11:48:00,67.9,1,0,1,0,1
2026-07-10 11:48:00,68.1,0,0,1,0,1
2026-07-10 11:48:01,68.4,1,0,1,0,1
2026-07-10 11:48:01,68.6,1,0,1,0,1
2026-07-10 11:48:01,68.9,1,0,1,0,1
2026-07-10 11:48:02,69.2,1,0,1,0,1
2026-07-10 11:48:02,69.5,1,0,1,0,1
2026-07-10 11:48:02,69.7,1,0,1,0,1
2026-07-10 11:48:02,70.0,1,0,1,0,1
2026-07-10 11:48:03,70.3,1,0,1,0,1
2026-07-10 11:48:03,70.5,1,0,1,0,1
2026-07-10 11:48:03,70.8,1,0,1,0,1
2026-07-10 11:48:03,71.0,1,0,0,0,2
2026-07-10 11:48:04,71.3,1,0,0,0,2
2026-07-10 11:48:04,71.6,1,0,1,0,2
2026-07-10 11:48:04,71.8,1,0,1,0,1
2026-07-10 11:48:04,72.1,1,0,1,0,1
2026-07-10 11:48:05,72.4,1,0,1,0,0
2026-07-10 11:48:05,72.9,1,0,0,0,1
2026-07-10 11:48:06,73.2,0,0,0,0,1
2026-07-10 11:48:06,73.5,0,0,0,0,1
2026-07-10 11:48:06,73.7,0,0,1,0,0
2026-07-10 11:48:06,74.0,1,0,0,0,1
2026-07-10 11:48:07,74.3,1,0,1,0,1
2026-07-10 11:48:07,74.5,1,0,1,0,1
2026-07-10 11:48:07,74.8,1,0,1,0,0
2026-07-10 11:48:07,75.1,1,0,1,0,1
2026-07-10 11:48:08,75.3,1,0,1,0,1
2026-07-10 11:48:08,75.6,1,0,1,0,1
2026-07-10 11:48:08,75.8,1,0,1,0,1
2026-07-10 11:48:08,76.1,1,0,1,0,1
2026-07-10 11:48:09,76.4,1,0,1,0,1
2026-07-10 11:48:09,76.6,1,0,1,0,1
2026-07-10 11:48:09,76.9,1,0,1,0,1
2026-07-10 11:48:10,77.2,1,0,1,0,0
2026-07-10 11:48:10,77.5,0,0,1,0,1
2026-07-10 11:48:10,77.7,2,0,1,0,1
2026-07-10 11:48:10,78.0,1,0,1,0,1
2026-07-10 11:48:11,78.3,1,0,1,0,1
2026-07-10 11:48:11,78.5,1,0,1,0,1
2026-07-10 11:48:11,78.8,1,0,1,0,1
2026-07-10 11:48:11,79.1,1,0,1,0,1
2026-07-10 11:48:12,79.3,1,0,1,0,1
2026-07-10 11:48:12,79.6,1,0,1,0,1
2026-07-10 11:48:12,79.9,1,0,1,0,1
2026-07-10 11:48:12,80.1,1,0,1,0,1
2026-07-10 11:48:13,80.4,1,0,1,0,1
2026-07-10 11:48:13,80.7,1,0,1,0,1
2026-07-10 11:48:13,80.9,1,0,1,0,1
2026-07-10 11:48:14,81.2,1,0,1,0,0
2026-07-10 11:48:14,81.5,1,0,1,0,1
2026-07-10 11:48:14,81.7,1,0,1,0,1
2026-07-10 11:48:14,82.0,2,0,1,0,1
2026-07-10 11:48:15,82.2,2,0,1,0,1
2026-07-10 11:48:15,82.5,1,0,1,0,1
2026-07-10 11:48:15,82.8,2,0,1,0,0
2026-07-10 11:48:15,83.1,1,0,1,0,1
2026-07-10 11:48:16,83.4,1,0,1,0,1
2026-07-10 11:48:16,83.6,1,0,1,0,1
2026-07-10 11:48:16,83.9,1,0,1,0,1
2026-07-10 11:48:17,84.1,1,0,1,0,1
2026-07-10 11:48:17,84.4,1,0,1,0,1
